Player,ERA,W-L,APP,GS,CG,SHO,SV,IP,H,R,ER,BB,SO,2B,3B,HR,B/AVG,WP,HP,BK,SFA,SHA,School,Index,FIP,K/9,BB/9,K/BB,ERA-FIP,FIP-lgFIP
"35 Edwards, Jagger",18.0,0-0,1,0,0,0-0,0,1.0,2,2,2,3,2,0,0,0,0.5,1,1,0,0,1,Columbia,"35 Edwards, Jagger",12.597047845266372,18.0,27.0,0.6666666666666666,5.402952154733628,6.130302002035968
"30 Parkinson, Will",10.29,0-0,5,1,0,0-0,0,7.0,13,10,8,3,6,2,1,1,0.382,3,3,0,0,0,Columbia,"30 Parkinson, Will",7.311333559552087,7.714285714285714,3.857142857142857,2.0,2.9786664404479124,0.8445877163216826
"32 Yoo, Derek",6.57,0-1,6,1,0,0-0,0,12.1,18,13,9,6,11,8,0,0,0.327,1,0,0,2,0,Columbia,"32 Yoo, Derek",4.266469332869678,8.181818181818182,4.462809917355372,1.8333333333333333,2.303530667130322,-2.200276510360726
"45 Sheets, Joe",7.71,0-1,5,4,0,0-0,0,16.1,28,15,14,6,12,1,1,2,0.378,0,1,0,0,0,Columbia,"45 Sheets, Joe",6.025619273837801,6.70807453416149,3.354037267080745,2.0,1.6843807261621988,-0.441126569392603
"33 Black, Billy",9.35,0-4,5,5,0,0-0,0,17.1,24,23,18,12,11,5,0,3,0.333,3,1,1,2,2,Columbia,"33 Black, Billy",7.871901646435963,5.789473684210526,6.31578947368421,0.9166666666666666,1.4780983535640368,1.4051558032055587
"9 Madrigal, Brandon",9.53,0-0,6,0,0,0-0,0,11.1,14,14,12,8,6,3,0,1,0.35,4,6,0,1,3,Columbia,"9 Madrigal, Brandon",8.470921719140247,4.864864864864865,6.486486486486487,0.75,1.0590782808597528,2.0041758759098425
"10 Higgins, Sean",6.38,3-Feb,5,5,0,0-0,0,24.0,33,17,17,8,19,7,1,3,0.327,1,1,0,0,0,Columbia,"10 Higgins, Sean",5.763714511933039,7.125,3.0,2.375,0.6162854880669606,-0.7030313312973648
Totals,6.32,12-Jul,67,19,0,0,2,158.0,206,128,111,75,122,47,3,17,0.32,22,21,1,6,11,Columbia,Totals,6.27426303513979,6.949367088607595,4.272151898734177,1.6266666666666667,0.04573696486021017,-0.19248280809061402
Opponents,5.23,7-Dec,68,19,0,1,7,166.3,160,107,97,57,180,30,5,21,0.253,14,14,0,12,4,Columbia,Opponents,5.354714712374009,9.741431148526758,3.0847865303668067,3.157894736842105,-0.12471471237400866,-1.112031130856395
"14 Healy, Phil",3.0,0-0,2,0,0,0-0,0,3.0,3,1,1,1,3,2,0,0,0.25,2,0,0,0,0,Columbia,"14 Healy, Phil",3.5970478452663723,9.0,3.0,3.0,-0.5970478452663723,-2.869697997964032
"27 May, Saajan",4.5,Jan-00,5,0,0,0-0,1,18.0,20,9,9,5,14,7,0,1,0.274,1,3,0,1,0,Columbia,"27 May, Saajan",5.097047845266372,7.0,2.5,2.8,-0.5970478452663723,-1.3696979979640318
"29 Leon, Andy",6.48,Jan-00,3,1,0,0-0,0,8.1,12,6,6,0,10,3,0,3,0.324,0,2,0,0,0,Columbia,"29 Leon, Andy",7.683467598352792,11.11111111111111,0.0,inf,-1.2034675983527912,1.2167217551223874
"37 Hubble, Camron",6.1,0-0,6,0,0,0-0,0,10.1,13,7,7,6,7,4,0,2,0.333,1,0,0,0,2,Columbia,"37 Hubble, Camron",7.567344874969343,6.237623762376238,5.346534653465347,1.1666666666666667,-1.467344874969343,1.1005990317389385
"28 Ogden, JD",4.2,0-2,7,1,0,0-0,1,15.0,15,8,7,12,7,2,0,0,0.273,1,0,0,0,1,Columbia,"28 Ogden, JD",6.063714511933039,4.2,7.2,0.5833333333333334,-1.863714511933039,-0.403031331297365
"17 Palfrey, Griffin",1.29,Feb-00,5,1,0,0-0,0,7.0,6,1,1,1,10,2,0,1,0.25,1,1,0,0,1,Columbia,"17 Palfrey, Griffin",4.454190702409229,12.857142857142858,1.2857142857142858,10.0,-3.164190702409229,-2.012555140821175
"36 Tucker, Justin",0.0,1-Jan,6,0,0,0-0,0,7.0,5,2,0,4,4,1,0,0,0.217,3,2,0,0,1,Columbia,"36 Tucker, Justin",6.025619273837801,5.142857142857143,5.142857142857143,1.0,-6.025619273837801,-0.441126569392603
